Pe,Qe,Pe_index,Qe_index,current,gradient_norm,stationary,accepted,radius_used,inside_direct_radius,iterations,stopped_reason,status,parent_Pe,parent_Qe,elapsed_seconds
3.1622776601683795,0.1,15,0,0.12393081844138054,0.3746420232557213,False,False,1.2640009476345773,True,54,objective tolerance,rejected: outside radius or no improvement,2.511886431509581,0.1,1256.4834473133087
3.981071705534973,0.1,16,0,0.18165747648592434,0.5562962158615266,False,False,1.1126740070862169,True,59,objective tolerance,rejected: outside radius or no improvement,3.1622776601683795,0.1,4426.693448066711
5.011872336272725,0.1,17,0,0.25735642289668453,0.8034269362585638,False,False,0.9540481713267229,False,100,maximum iterations reached,rejected: outside radius or no improvement,3.981071705534973,0.1,8085.1369841098785
6.309573444801933,0.1,18,0,0.3493266364822357,1.1206971544760702,False,False,0.8393552500807286,False,100,maximum iterations reached,rejected: outside radius or no improvement,5.011872336272725,0.1,898.1704983711243
7.943282347242818,0.1,19,0,0.4509823638584909,1.4995013857171857,False,False,0.75976495760609,False,100,maximum iterations reached,rejected: outside radius or no improvement,6.309573444801933,0.1,1072.0622155666351
10.0,0.1,20,0,0.5508070590997739,1.9100402149365092,False,False,0.7084926536363686,False,100,maximum iterations reached,rejected: outside radius or no improvement,7.943282347242818,0.1,2391.045332431793
10.0,0.12589254117941673,20,1,0.5503337172169175,1.9080163834216086,False,False,0.7087174860998836,False,100,maximum iterations reached,rejected: outside radius or no improvement,10.0,0.1,2058.2334547042847
7.943282347242818,0.12589254117941673,19,1,0.4504860349704751,1.4974388673511225,False,False,0.7600792130686957,False,100,maximum iterations reached,rejected: outside radius or no improvement,10.0,0.12589254117941673,1173.2424583435059
6.309573444801933,0.12589254117941673,18,1,0.3488539065921619,1.1187715720109752,False,False,0.839791299222594,False,100,maximum iterations reached,rejected: outside radius or no improvement,7.943282347242818,0.12589254117941673,38624.31443524361
5.011872336272725,0.12589254117941673,17,1,0.2569462057038472,0.801775034496102,False,False,0.9546447704222485,False,98,objective tolerance,rejected: outside radius or no improvement,6.309573444801933,0.12589254117941673,1310.7531192302704
3.981071705534973,0.12589254117941673,16,1,0.18133009870101105,0.5549850455700531,False,False,1.1134763029145136,True,53,objective tolerance,rejected: outside radius or no improvement,5.011872336272725,0.12589254117941673,961.7560212612152
3.1622776601683795,0.12589254117941673,15,1,0.12368699774527069,0.37366753285164145,False,False,1.2641818534738383,True,54,objective tolerance,rejected: outside radius or no improvement,3.981071705534973,0.12589254117941673,1025.0713872909546
2.511886431509581,0.12589254117941673,14,1,0.0822574957327858,0.24640049966462604,False,False,1.3692153782670022,True,55,objective tolerance,rejected: outside radius or no improvement,3.1622776601683795,0.12589254117941673,1033.8522636890411
1.9952623149688797,0.12589254117941673,13,1,0.053734682852589,0.16008145993298062,False,False,1.500345098052267,True,67,objective tolerance,rejected: outside radius or no improvement,2.511886431509581,0.12589254117941673,763.1457712650299
1.584893192461114,0.12589254117941673,12,1,0.10193983669480917,7.888008426665889e-07,True,True,1.0368746720886073,True,42,objective tolerance,accepted,1.9952623149688797,0.12589254117941673,380.2640469074249
1.2589254117941675,0.12589254117941673,11,1,0.0649185111278153,9.102393252448599e-07,True,True,1.106154892144969,True,57,objective tolerance,accepted,1.584893192461114,0.12589254117941673,621.8359243869781
1.0,0.12589254117941673,10,1,0.04120485554825983,8.539203009337799e-06,False,True,1.1491545755845214,True,100,maximum iterations reached,accepted,1.2589254117941675,0.12589254117941673,3256.8026988506317
0.7943282347242815,0.12589254117941673,9,1,0.026096885610838182,3.045329548190995e-05,False,True,1.1872173067642044,True,100,maximum iterations reached,accepted,1.0,0.12589254117941673,5562.428850412369
0.6309573444801934,0.12589254117941673,8,1,0.016504212908517044,6.686311750583899e-05,False,True,1.225779748068967,True,100,maximum iterations reached,accepted,0.7943282347242815,0.12589254117941673,10626.441210985184
0.5011872336272724,0.12589254117941673,7,1,0.010424665119905295,0.00010320117584934805,False,True,1.2585483570656957,True,100,maximum iterations reached,accepted,0.6309573444801934,0.12589254117941673,786.2358555793762
0.3981071705534973,0.12589254117941673,6,1,0.006573242480071942,0.00011515557435712125,False,True,1.2946292996578666,True,100,maximum iterations reached,accepted,0.5011872336272724,0.12589254117941673,823.9632828235626
0.31622776601683794,0.12589254117941673,5,1,0.004127027828182707,9.019814530082157e-05,False,True,1.3483749751170322,True,100,maximum iterations reached,accepted,0.3981071705534973,0.12589254117941673,814.7207860946655
0.251188643150958,0.12589254117941673,4,1,0.002531343129600641,9.810264918133474e-05,False,True,1.4317178163954178,True,100,maximum iterations reached,accepted,0.31622776601683794,0.12589254117941673,18349.49382853508
0.19952623149688797,0.12589254117941673,3,1,0.001536086562886847,9.624382674570779e-05,False,True,1.4963623223400133,True,100,maximum iterations reached,accepted,0.251188643150958,0.12589254117941673,826.632640838623
0.15848931924611134,0.12589254117941673,2,1,0.0009311035164314772,9.260367742226152e-05,False,True,1.5569740732236235,True,100,maximum iterations reached,accepted,0.19952623149688797,0.12589254117941673,1427.7717595100403
0.12589254117941673,0.12589254117941673,1,1,0.0005643840589471002,8.642508092582412e-05,False,True,1.6038855479786782,True,100,maximum iterations reached,accepted,0.15848931924611134,0.12589254117941673,1312.714367389679
0.1,0.12589254117941673,0,1,0.00034301395250357436,8.175712964161043e-05,False,True,1.6377439231672142,True,100,maximum iterations reached,accepted,0.12589254117941673,0.12589254117941673,831.4426748752594
0.1,0.15848931924611134,0,2,0.0003409824852767357,8.379287978168594e-05,False,True,1.6384239726679786,True,100,maximum iterations reached,accepted,0.1,0.12589254117941673,821.1780109405518
0.12589254117941673,0.15848931924611134,1,2,0.0005608358943553957,8.778739938088743e-05,False,True,1.6061840150208577,True,100,maximum iterations reached,accepted,0.1,0.15848931924611134,37428.62971377373
0.15848931924611134,0.15848931924611134,2,2,0.0009268992521785454,9.242458864945856e-05,False,True,1.5612090025550647,True,100,maximum iterations reached,accepted,0.12589254117941673,0.15848931924611134,826.9084703922272
0.19952623149688797,0.15848931924611134,3,2,0.0015306513009741808,9.535926156918636e-05,False,True,1.497079059840234,True,100,maximum iterations reached,accepted,0.15848931924611134,0.15848931924611134,952.0083689689636
0.251188643150958,0.15848931924611134,4,2,0.002522007483019505,9.73616874886285e-05,False,True,1.4334782042102021,True,100,maximum iterations reached,accepted,0.19952623149688797,0.15848931924611134,945.0999095439911
0.31622776601683794,0.15848931924611134,5,2,0.004108817072784259,8.984194658308769e-05,False,True,1.350413648632084,True,100,maximum iterations reached,accepted,0.251188643150958,0.15848931924611134,907.3891351222992
0.3981071705534973,0.15848931924611134,6,2,0.006544313457909091,0.00011489148185312039,False,True,1.2962535413087661,True,100,maximum iterations reached,accepted,0.31622776601683794,0.15848931924611134,878.4333364963531
0.5011872336272724,0.15848931924611134,7,2,0.010378932376485845,0.00010308623017769102,False,True,1.2604115903846,True,100,maximum iterations reached,accepted,0.3981071705534973,0.15848931924611134,838.3371880054474
0.6309573444801934,0.15848931924611134,8,2,0.016432058283035934,6.68900075097481e-05,False,True,1.2273049385240415,True,100,maximum iterations reached,accepted,0.5011872336272724,0.15848931924611134,844.2313840389252
0.7943282347242815,0.15848931924611134,9,2,0.02598333768975927,3.0525882840200653e-05,False,True,1.1886402189138998,True,100,maximum iterations reached,accepted,0.6309573444801934,0.15848931924611134,1080.1225554943085
1.0,0.15848931924611134,10,2,0.041026887778674845,8.590804514149887e-06,False,True,1.1505420434425924,True,100,maximum iterations reached,accepted,0.7943282347242815,0.15848931924611134,822.4769349098206
1.2589254117941675,0.15848931924611134,11,2,0.06464135429606103,9.81293491451258e-07,True,True,1.1087110060686316,True,57,objective tolerance,accepted,1.0,0.15848931924611134,721.823846578598
1.584893192461114,0.15848931924611134,12,2,0.10151252806336765,7.161432505453619e-07,True,True,1.0378735322186645,True,34,objective tolerance,accepted,1.2589254117941675,0.15848931924611134,392.27319169044495
1.9952623149688797,0.15848931924611134,13,2,0.05400848297914862,0.16005088674013845,False,False,1.492371588870769,True,59,objective tolerance,rejected: outside radius or no improvement,1.584893192461114,0.15848931924611134,615.0449657440186
2.511886431509581,0.15848931924611134,14,2,0.08269634934999572,0.2464217925511937,False,False,1.3619287949447496,True,50,objective tolerance,rejected: outside radius or no improvement,1.9952623149688797,0.15848931924611134,724.9189445972443
3.1622776601683795,0.15848931924611134,15,2,0.12438852856147097,0.37384504827202736,False,False,1.2574458952805785,True,58,objective tolerance,rejected: outside radius or no improvement,2.511886431509581,0.15848931924611134,1172.9591400623322
3.981071705534973,0.15848931924611134,16,2,0.18243955076587065,0.555534688583573,False,False,1.1077463408903436,True,100,maximum iterations reached,rejected: outside radius or no improvement,3.1622776601683795,0.15848931924611134,944.7509367465973
5.011872336272725,0.15848931924611134,17,2,0.25865937756313373,0.8030805203464005,False,False,0.9496843774525058,False,99,objective tolerance,rejected: outside radius or no improvement,3.981071705534973,0.15848931924611134,1274.7381899356842
6.309573444801933,0.15848931924611134,18,2,0.35139447341115265,1.121411665437389,False,False,0.8353967915814894,False,100,maximum iterations reached,rejected: outside radius or no improvement,5.011872336272725,0.15848931924611134,900.3930141925812
